match_id,match_date,player_id,model_prob,pinnacle_odds,pinnacle_implied,edge,kelly_stake,bet,actual_won,pnl,surface_name,tier_name
27041,2024-10-02,711,0.1538,7.61,0.1314,0.0224,0.0,False,0,0.0,Hard,Masters 1000
27042,2024-10-02,214,0.795,1.19,0.8403,-0.0453,0.0,False,1,0.0,Hard,Masters 1000
27042,2024-10-02,30,0.205,5.46,0.1832,0.0218,0.0,False,0,0.0,Hard,Masters 1000
27043,2024-10-02,512,0.8513,1.18,0.8475,0.0038,0.0,False,1,0.0,Hard,Masters 1000
27043,2024-10-02,641,0.1487,5.73,0.1745,-0.0258,0.0,False,0,0.0,Hard,Masters 1000
27044,2024-10-02,340,0.7143,1.42,0.7042,0.0101,0.0,False,1,0.0,Hard,Masters 1000
27044,2024-10-02,440,0.2857,3.14,0.3185,-0.0328,0.0,False,0,0.0,Hard,Masters 1000
27045,2024-10-02,543,0.8269,1.06,0.9434,-0.1165,0.0,False,1,0.0,Hard,Masters 1000
27045,2024-10-02,69,0.1731,13.8,0.0725,0.1006,0.0,False,0,0.0,Hard,Masters 1000
27047,2024-10-02,711,0.2279,3.41,0.2933,-0.0654,0.0,False,1,0.0,Hard,Masters 1000
27047,2024-10-02,14,0.7721,1.37,0.7299,0.0422,0.0,False,0,0.0,Hard,Masters 1000
27048,2024-10-02,32,0.8637,1.1,0.9091,-0.0454,0.0,False,1,0.0,Hard,Masters 1000
27048,2024-10-02,555,0.1363,8.93,0.112,0.0243,0.0,False,0,0.0,Hard,Masters 1000
27049,2024-10-02,214,0.6259,1.6,0.625,0.0009,0.0,False,1,0.0,Hard,Masters 1000
27049,2024-10-02,475,0.3741,2.52,0.3968,-0.0227,0.0,False,0,0.0,Hard,Masters 1000
27050,2024-10-02,30,0.1849,6.87,0.1456,0.0393,0.0,False,1,0.0,Hard,Masters 1000
27050,2024-10-02,195,0.8151,1.14,0.8772,-0.0621,0.0,False,0,0.0,Hard,Masters 1000
27052,2024-10-02,641,0.7904,1.17,0.8547,-0.0643,0.0,False,1,0.0,Hard,Masters 1000
27052,2024-10-02,202,0.2096,5.92,0.1689,0.0407,0.0,False,0,0.0,Hard,Masters 1000
27053,2024-10-02,440,0.766,1.27,0.7874,-0.0214,0.0,False,1,0.0,Hard,Masters 1000
27053,2024-10-02,596,0.234,4.23,0.2364,-0.0024,0.0,False,0,0.0,Hard,Masters 1000
27054,2024-10-02,340,0.7738,1.19,0.8403,-0.0665,0.0,False,1,0.0,Hard,Masters 1000
27054,2024-10-02,692,0.2262,5.45,0.1835,0.0427,0.0,False,0,0.0,Hard,Masters 1000
27055,2024-10-02,543,0.8892,1.03,0.9709,-0.0817,0.0,False,1,0.0,Hard,Masters 1000
27055,2024-10-02,412,0.1108,20.68,0.0484,0.0624,0.0,False,0,0.0,Hard,Masters 1000
27056,2024-10-02,69,0.3802,3.23,0.3096,0.0706,0.0,False,1,0.0,Hard,Masters 1000
27056,2024-10-02,497,0.6198,1.4,0.7143,-0.0945,0.0,False,0,0.0,Hard,Masters 1000
27057,2024-10-02,333,0.7505,1.24,0.8065,-0.056,0.0,False,1,0.0,Hard,Masters 1000
27057,2024-10-02,540,0.2495,4.53,0.2208,0.0287,0.0,False,0,0.0,Hard,Masters 1000
27058,2024-10-02,577,0.787,1.42,0.7042,0.0828,0.0,False,1,0.0,Hard,Masters 1000
27058,2024-10-02,586,0.213,3.1,0.3226,-0.1096,0.0,False,0,0.0,Hard,Masters 1000
27059,2024-10-02,711,0.6667,1.41,0.7092,-0.0425,0.0,False,1,0.0,Hard,Masters 1000
27059,2024-10-02,693,0.3333,3.16,0.3165,0.0168,0.0,False,0,0.0,Hard,Masters 1000
27060,2024-10-02,14,0.6048,1.66,0.6024,0.0024,0.0,False,1,0.0,Hard,Masters 1000
27060,2024-10-02,504,0.3952,2.37,0.4219,-0.0267,0.0,False,0,0.0,Hard,Masters 1000
27061,2024-10-02,555,0.2403,2.27,0.4405,-0.2002,0.0,False,1,0.0,Hard,Masters 1000
27061,2024-10-02,269,0.7597,1.7,0.5882,0.1715,0.0,False,0,0.0,Hard,Masters 1000
27062,2024-10-02,32,0.8116,1.13,0.885,-0.0734,0.0,False,1,0.0,Hard,Masters 1000
27062,2024-10-02,606,0.1884,7.07,0.1414,0.047,0.0,False,0,0.0,Hard,Masters 1000
27063,2024-10-02,214,0.8809,1.17,0.8547,0.0262,0.0,False,1,0.0,Hard,Masters 1000
