surfaces,tiers,odds_min,odds_max,edge_thresh,staking,bets,win_rate,roi,clv,sharpe,total_pnl,total_staked
Hard,Masters 1000,2.25,3.75,0.03,half-Kelly,70,0.4714,28.37,10.545,1.56,0.635,2.237
Hard,ATP 250+Masters 1000,2.25,3.75,0.03,quarter-Kelly,70,0.4714,28.37,10.545,1.56,0.317,1.119
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.03,half-Kelly,70,0.4714,28.37,10.545,1.56,0.635,2.237
Grass+Hard,Masters 1000,2.25,3.75,0.03,half-Kelly,70,0.4714,28.37,10.545,1.56,0.635,2.237
Grass+Hard,Masters 1000,2.25,3.75,0.03,quarter-Kelly,70,0.4714,28.37,10.545,1.56,0.317,1.119
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.03,quarter-Kelly,70,0.4714,28.37,10.545,1.56,0.317,1.119
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.07,quarter-Kelly,60,0.4833,28.34,13.183,1.596,0.338,1.194
Hard,Grand Slam+Masters 1000,2.25,3.5,0.07,quarter-Kelly,60,0.4833,28.34,13.183,1.596,0.338,1.194
Hard,Grand Slam+Masters 1000,2.25,3.5,0.07,half-Kelly,60,0.4833,28.34,13.183,1.596,0.677,2.388
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.07,half-Kelly,60,0.4833,28.34,13.183,1.596,0.677,2.388
Hard,Masters 1000,2.25,3.0,0.03,flat,50,0.52,28.22,10.356,1.612,14.11,50.0
Grass+Hard,ATP 250+Masters 1000,2.25,3.0,0.03,flat,50,0.52,28.22,10.356,1.612,14.11,50.0
Grass+Hard,Masters 1000,2.25,3.0,0.03,flat,50,0.52,28.22,10.356,1.612,14.11,50.0
Hard,ATP 250+Masters 1000,2.25,3.0,0.03,flat,50,0.52,28.22,10.356,1.612,14.11,50.0
Hard,ATP 500+Masters 1000,2.25,2.75,0.04,quarter-Kelly,96,0.4896,28.17,11.874,1.68,0.552,1.96
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.04,half-Kelly,96,0.4896,28.17,11.874,1.68,1.104,3.92
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.04,quarter-Kelly,96,0.4896,28.17,11.874,1.68,0.552,1.96
Hard,ATP 500+Masters 1000,2.25,2.75,0.04,half-Kelly,96,0.4896,28.17,11.874,1.68,1.104,3.92
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.03,half-Kelly,110,0.4909,28.02,10.814,1.798,1.147,4.093
Hard,ATP 500+Masters 1000,2.25,2.75,0.03,half-Kelly,110,0.4909,28.02,10.814,1.798,1.147,4.093
Hard,ATP 500+Masters 1000,2.25,2.75,0.03,quarter-Kelly,110,0.4909,28.02,10.814,1.798,0.573,2.046
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.03,quarter-Kelly,110,0.4909,28.02,10.814,1.798,0.573,2.046
Hard,Grand Slam+Masters 1000,2.25,3.5,0.07,flat,60,0.4833,27.8,13.183,1.596,16.68,60.0
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.07,flat,60,0.4833,27.8,13.183,1.596,16.68,60.0
Clay+Hard,Masters 1000,2.25,2.75,0.05,flat,50,0.52,27.68,11.788,1.589,13.84,50.0
Clay+Hard,ATP 250+Masters 1000,2.25,2.75,0.05,flat,50,0.52,27.68,11.788,1.589,13.84,50.0
Clay+Grass+Hard,Masters 1000,2.25,2.75,0.05,flat,50,0.52,27.68,11.788,1.589,13.84,50.0
Clay+Grass+Hard,ATP 250+Masters 1000,2.25,2.75,0.05,flat,50,0.52,27.68,11.788,1.589,13.84,50.0
Grass+Hard,Masters 1000,2.25,3.5,0.04,half-Kelly,62,0.4677,27.64,11.091,1.378,0.584,2.115
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.04,half-Kelly,62,0.4677,27.64,11.091,1.378,0.584,2.115
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.04,quarter-Kelly,62,0.4677,27.64,11.091,1.378,0.292,1.057
Hard,ATP 250+Masters 1000,2.25,3.5,0.04,half-Kelly,62,0.4677,27.64,11.091,1.378,0.584,2.115
Hard,ATP 250+Masters 1000,2.25,3.5,0.04,quarter-Kelly,62,0.4677,27.64,11.091,1.378,0.292,1.057
Hard,Masters 1000,2.25,3.5,0.04,half-Kelly,62,0.4677,27.64,11.091,1.378,0.584,2.115
Grass+Hard,Masters 1000,2.25,3.5,0.04,quarter-Kelly,62,0.4677,27.64,11.091,1.378,0.292,1.057
Hard,Masters 1000,2.25,3.5,0.04,quarter-Kelly,62,0.4677,27.64,11.091,1.378,0.292,1.057
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.03,quarter-Kelly,68,0.4706,27.63,10.409,1.463,0.301,1.09
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.03,half-Kelly,68,0.4706,27.63,10.409,1.463,0.602,2.179
Grass+Hard,Masters 1000,2.25,3.5,0.03,half-Kelly,68,0.4706,27.63,10.409,1.463,0.602,2.179
Hard,Masters 1000,2.25,3.5,0.03,quarter-Kelly,68,0.4706,27.63,10.409,1.463,0.301,1.09
Hard,ATP 250+Masters 1000,2.25,3.5,0.03,quarter-Kelly,68,0.4706,27.63,10.409,1.463,0.301,1.09
Hard,ATP 250+Masters 1000,2.25,3.5,0.03,half-Kelly,68,0.4706,27.63,10.409,1.463,0.602,2.179
Hard,Masters 1000,2.25,3.5,0.03,half-Kelly,68,0.4706,27.63,10.409,1.463,0.602,2.179
Grass+Hard,Masters 1000,2.25,3.5,0.03,quarter-Kelly,68,0.4706,27.63,10.409,1.463,0.301,1.09
Hard,Grand Slam+Masters 1000,2.25,4.0,0.07,quarter-Kelly,69,0.4638,27.61,13.345,1.6,0.364,1.317
Hard,ATP 250+Grand Slam+Masters 1000,2.25,4.0,0.07,quarter-Kelly,69,0.4638,27.61,13.345,1.6,0.364,1.317
Hard,ATP 250+Grand Slam+Masters 1000,2.25,4.0,0.07,half-Kelly,69,0.4638,27.61,13.345,1.6,0.727,2.633
Hard,Grand Slam+Masters 1000,2.25,4.0,0.07,half-Kelly,69,0.4638,27.61,13.345,1.6,0.727,2.633
Hard,Grand Slam+Masters 1000,2.25,3.5,0.06,quarter-Kelly,65,0.4769,27.48,12.668,1.622,0.341,1.241
Hard,Grand Slam+Masters 1000,2.25,3.5,0.06,half-Kelly,65,0.4769,27.48,12.668,1.622,0.682,2.482
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.06,half-Kelly,65,0.4769,27.48,12.668,1.622,0.682,2.482
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.06,quarter-Kelly,65,0.4769,27.48,12.668,1.622,0.341,1.241
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.5,0.06,flat,65,0.4769,27.42,12.668,1.622,17.82,65.0
Hard,Grand Slam+Masters 1000,2.25,3.5,0.06,flat,65,0.4769,27.42,12.668,1.622,17.82,65.0
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.5,0.03,quarter-Kelly,53,0.566,27.38,10.007,2.092,0.271,0.991
Clay+Grass+Hard,Grand Slam+Masters 1000,2.25,2.5,0.03,quarter-Kelly,53,0.566,27.38,10.007,2.092,0.271,0.991
Clay+Grass+Hard,Grand Slam+Masters 1000,2.25,2.5,0.03,half-Kelly,53,0.566,27.38,10.007,2.092,0.543,1.982
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.5,0.03,half-Kelly,53,0.566,27.38,10.007,2.092,0.543,1.982
Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.25,2.5,0.07,quarter-Kelly,53,0.5094,27.37,13.273,1.258,0.356,1.299
Hard,ATP 500+Grand Slam+Masters 1000,2.25,2.5,0.07,half-Kelly,53,0.5094,27.37,13.273,1.258,0.711,2.598
Hard,ATP 500+Grand Slam+Masters 1000,2.25,2.5,0.07,quarter-Kelly,53,0.5094,27.37,13.273,1.258,0.356,1.299
Hard,ATP 250+ATP 500+Grand Slam+Masters 1000,2.25,2.5,0.07,half-Kelly,53,0.5094,27.37,13.273,1.258,0.711,2.598
Hard,Grand Slam+Masters 1000,2.25,2.75,0.04,quarter-Kelly,50,0.5,27.25,10.796,1.303,0.255,0.937
Hard,Grand Slam+Masters 1000,2.25,2.75,0.04,half-Kelly,50,0.5,27.25,10.796,1.303,0.511,1.873
Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.75,0.04,half-Kelly,50,0.5,27.25,10.796,1.303,0.511,1.873
Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.75,0.04,quarter-Kelly,50,0.5,27.25,10.796,1.303,0.255,0.937
Hard,ATP 250+Masters 1000,2.25,3.25,0.03,quarter-Kelly,60,0.4667,27.16,10.05,1.071,0.266,0.979
Hard,Masters 1000,2.25,3.25,0.03,quarter-Kelly,60,0.4667,27.16,10.05,1.071,0.266,0.979
Hard,ATP 250+Masters 1000,2.25,3.25,0.03,half-Kelly,60,0.4667,27.16,10.05,1.071,0.532,1.958
Hard,Masters 1000,2.25,3.25,0.03,half-Kelly,60,0.4667,27.16,10.05,1.071,0.532,1.958
Grass+Hard,ATP 250+Masters 1000,2.25,3.25,0.03,quarter-Kelly,60,0.4667,27.16,10.05,1.071,0.266,0.979
Grass+Hard,ATP 250+Masters 1000,2.25,3.25,0.03,half-Kelly,60,0.4667,27.16,10.05,1.071,0.532,1.958
Grass+Hard,Masters 1000,2.25,3.25,0.03,half-Kelly,60,0.4667,27.16,10.05,1.071,0.532,1.958
Grass+Hard,Masters 1000,2.25,3.25,0.03,quarter-Kelly,60,0.4667,27.16,10.05,1.071,0.266,0.979
Hard,Masters 1000,2.25,3.25,0.04,quarter-Kelly,54,0.463,27.15,10.794,0.963,0.257,0.947
Hard,ATP 250+Masters 1000,2.25,3.25,0.04,half-Kelly,54,0.463,27.15,10.794,0.963,0.514,1.893
Grass+Hard,ATP 250+Masters 1000,2.25,3.25,0.04,half-Kelly,54,0.463,27.15,10.794,0.963,0.514,1.893
Grass+Hard,ATP 250+Masters 1000,2.25,3.25,0.04,quarter-Kelly,54,0.463,27.15,10.794,0.963,0.257,0.947
Grass+Hard,Masters 1000,2.25,3.25,0.04,half-Kelly,54,0.463,27.15,10.794,0.963,0.514,1.893
Hard,ATP 250+Masters 1000,2.25,3.25,0.04,quarter-Kelly,54,0.463,27.15,10.794,0.963,0.257,0.947
Hard,Masters 1000,2.25,3.25,0.04,half-Kelly,54,0.463,27.15,10.794,0.963,0.514,1.893
Grass+Hard,Masters 1000,2.25,3.25,0.04,quarter-Kelly,54,0.463,27.15,10.794,0.963,0.257,0.947
Hard,Grand Slam+Masters 1000,2.25,4.0,0.07,flat,69,0.4638,27.06,13.345,1.6,18.67,69.0
Hard,ATP 250+Grand Slam+Masters 1000,2.25,4.0,0.07,flat,69,0.4638,27.06,13.345,1.6,18.67,69.0
Grass+Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.0,0.07,flat,50,0.52,26.98,13.132,1.555,13.49,50.0
Grass+Hard,Grand Slam+Masters 1000,2.25,3.0,0.07,flat,50,0.52,26.98,13.132,1.555,13.49,50.0
Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.75,0.03,flat,56,0.5179,26.77,9.993,1.631,14.99,56.0
