match_id,match_date,winner_id,loser_id,game_diff,total_games,best_of,d_elo_surface,elo_win_prob,court_speed_index,tier_numeric,surface_Hard,surface_Clay,surface_Grass,p1_hold_surface,p2_hold_surface,d_hold_surface,p1_ace_rate,p2_ace_rate,d_ace_rate,p1_first_serve_pct,p2_first_serve_pct,d_first_serve_pct,p1_avg_games_surface,p2_avg_games_surface,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d
93,2015-01-11,19,8,1,31,3,0.0,0.5,42.0,2,1,0,0,0.8611111111111112,1.0,-0.13888888888888884,14.166666666666666,19.0,-4.833333333333334,62.26666666666667,73.30666666666666,-11.039999999999985,24.666666666666668,29.333333333333332,148,88,60
94,2015-01-11,11,110,9,15,3,38.92000000000007,0.5557772675007309,42.0,2,1,0,0,0.8833333333333332,0.7142857142857143,0.1690476190476189,9.2,3.0,6.199999999999999,66.67800000000001,63.27,3.4080000000000084,21.2,29.0,106,29,77
95,2015-01-11,53,5,7,17,3,-18.920000000000073,0.4727988140696135,42.0,2,1,0,0,0.8853174603174603,0.6990740740740741,0.1862433862433862,13.75,5.333333333333333,8.416666666666668,64.0375,64.50333333333334,-0.4658333333333502,23.25,28.333333333333332,93,85,8
96,2015-01-11,54,2,8,16,3,-20.0,0.4712494361077314,42.0,2,1,0,0,0.6714285714285714,0.8261904761904761,-0.15476190476190477,1.0,4.5,-3.5,69.92,64.675,5.2450000000000045,24.5,29.5,49,59,-10
98,2015-01-11,48,122,6,26,3,20.0,0.5287505638922686,42.0,2,1,0,0,1.0,,,10.0,,,69.715,,,24.0,,48,0,48
92,2015-01-11,4,114,4,20,3,18.84999999999991,0.5271007448793085,42.0,2,1,0,0,0.9555555555555556,0.8333333333333334,0.12222222222222223,11.666666666666666,20.0,-8.333333333333334,66.41,60.0,6.409999999999997,27.666666666666668,25.0,83,25,58
128,2015-01-12,59,60,6,18,3,-18.84999999999991,0.4728992551206916,42.0,2,1,0,0,0.16666666666666663,,,0.0,,,55.56,,,13.0,,13,0,13
129,2015-01-12,12,24,6,30,3,-1.009999999999991,0.49854649725443095,42.0,2,1,0,0,0.8465909090909091,0.7875,0.05909090909090908,10.0,4.0,6.0,57.575,60.82,-3.2449999999999974,27.5,18.0,0,36,-36
130,2015-01-12,64,39,6,20,3,-40.0,0.44268836623770724,42.0,2,1,0,0,0.7272727272727273,0.9212121212121211,-0.19393939393939386,12.0,7.5,4.5,56.58,64.39,-7.810000000000002,23.0,26.5,0,53,-53
131,2015-01-12,62,61,3,25,3,-1.150000000000091,0.4983450230083132,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
132,2015-01-12,21,194,6,24,3,20.0,0.5287505638922686,42.0,2,1,0,0,0.90625,,,9.0,,,62.985,,,24.0,,48,0,48
136,2015-01-12,21,62,7,17,3,-1.2200000000000273,0.498244286082703,42.0,2,1,0,0,0.9097222222222222,0.8461538461538461,0.06356837606837606,7.0,9.0,-2.0,59.47666666666667,59.21,0.2666666666666657,24.0,25.0,72,25,47
135,2015-01-12,64,12,3,23,3,-36.680000000000064,0.44740848268808303,42.0,2,1,0,0,0.8136363636363637,0.8977272727272728,-0.0840909090909091,10.0,11.666666666666666,-1.666666666666666,61.85,58.81333333333333,3.036666666666669,21.5,28.333333333333332,20,30,-10
137,2015-01-12,58,63,1,31,3,16.99000000000001,0.5244311043431342,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
138,2015-01-12,21,64,3,23,3,34.51999999999998,0.5495154462472248,42.0,2,1,0,0,0.9322916666666666,0.8454545454545456,0.08683712121212106,7.5,11.333333333333334,-3.833333333333334,62.22,62.0,0.21999999999999886,22.25,22.0,89,43,46
139,2015-01-12,21,58,7,17,3,-1.2300000000000182,0.498229895104775,42.0,2,1,0,0,0.927651515151515,0.8666666666666667,0.06098484848484831,8.4,5.0,3.4000000000000004,64.11,60.98,3.1300000000000026,22.4,31.0,112,31,81
133,2015-01-12,63,57,7,17,3,-18.800000000000182,0.47297100007216847,42.0,2,1,0,0,0.8125,,,11.0,,,61.11,,,31.0,,31,0,31
126,2015-01-12,57,23,6,18,3,-17.840000000000146,0.47434871614664387,42.0,2,1,0,0,0.625,0.8393939393939394,-0.21439393939393936,0.0,4.666666666666667,-4.666666666666667,59.09,59.98,-0.8899999999999935,17.0,20.666666666666668,17,62,-45
134,2015-01-12,58,59,8,16,3,17.950000000000045,0.5258091673633697,42.0,2,1,0,0,0.7888888888888889,0.5833333333333333,0.2055555555555556,2.6666666666666665,1.5,1.1666666666666665,53.660000000000004,61.945,-8.284999999999997,19.666666666666668,15.5,59,31,28
124,2015-01-12,21,104,4,22,3,0.0,0.5,42.0,2,1,0,0,0.9211910774410773,,,8.833333333333334,,,64.18833333333333,,,21.5,,129,0,129
125,2015-01-12,63,56,4,22,3,-18.84999999999991,0.4728992551206916,42.0,2,1,0,0,0.90625,,,8.0,,,62.375,,,24.0,,48,0,48
113,2015-01-12,56,75,2,34,3,20.0,0.5287505638922686,42.0,2,1,0,0,0.8181818181818181,0.375,0.4431818181818181,12.0,2.0,10.0,56.45,53.33,3.1200000000000045,22.0,16.0,22,16,6
114,2015-01-12,57,74,5,19,3,20.0,0.5287505638922686,42.0,2,1,0,0,0.8125,0.7,0.11250000000000004,2.5,0.0,2.5,63.92,67.69,-3.769999999999996,17.5,22.0,35,22,13
115,2015-01-12,23,128,3,25,3,38.92000000000007,0.5557772675007309,42.0,2,1,0,0,0.7962121212121211,0.8181818181818181,-0.021969696969696972,5.0,4.0,1.0,58.12,69.23,-11.110000000000007,20.0,23.0,80,23,57
116,2015-01-12,58,125,10,14,3,0.0,0.5,42.0,2,1,0,0,0.8104166666666667,,,3.0,,,55.017500000000005,,,18.75,,75,0,75
117,2015-01-12,59,136,4,20,3,-20.0,0.4712494361077314,42.0,2,1,0,0,0.5138888888888888,,,1.3333333333333333,,,62.22666666666667,,,15.666666666666666,,47,0,47
119,2015-01-12,12,87,4,22,3,-1.150000000000091,0.4983450230083132,42.0,2,1,0,0,0.8778409090909092,,,11.25,,,60.7775,,,27.0,,53,0,53
120,2015-01-12,24,17,5,19,3,1.150000000000091,0.5016549769916868,42.0,2,1,0,0,0.7694444444444445,0.75,0.019444444444444486,5.666666666666667,3.0,2.666666666666667,62.31666666666666,53.010000000000005,9.306666666666658,22.0,16.5,66,33,33
121,2015-01-12,39,116,4,32,3,0.0,0.5,42.0,2,1,0,0,0.8363636363636363,,,8.333333333333334,,,59.85666666666666,,,24.333333333333332,,73,0,73
122,2015-01-12,61,26,7,25,3,-19.930000000000064,0.4713498422890064,42.0,2,1,0,0,0.75,0.7643467643467643,-0.014346764346764296,2.0,5.0,-3.0,64.38,53.88999999999999,10.490000000000002,25.0,27.333333333333332,25,82,-57
123,2015-01-12,62,66,7,29,3,0.0,0.5,42.0,2,1,0,0,0.7008547008547008,,,5.5,,,58.31,,,21.0,,42,0,42
118,2015-01-12,60,78,7,17,3,0.0,0.5,42.0,2,1,0,0,0.6666666666666667,,,4.0,,,73.58,,,18.0,,18,0,18
221,2015-01-19,53,52,8,36,5,80.91000000000008,0.6143786256604026,42.0,4,1,0,0,0.9082539682539682,0.9466666666666667,-0.038412698412698454,12.6,10.2,2.4000000000000004,65.03999999999999,63.004000000000005,2.035999999999987,22.0,26.2,0,0,0
224,2015-01-19,64,20,9,29,5,9.779999999999973,0.5140708351320376,42.0,4,1,0,0,0.8386363636363636,0.7417582417582418,0.09687812187812184,11.0,2.5,8.5,61.6525,66.9,-5.247500000000002,22.25,28.0,66,0,66
222,2015-01-19,11,80,3,49,5,65.41000000000008,0.5930359641255579,42.0,4,1,0,0,0.9027777777777777,0.8174603174603174,0.08531746031746024,9.0,5.5,3.5,69.05666666666667,67.505,1.5516666666666765,20.166666666666668,24.5,0,0,0
223,2015-01-19,8,10,4,46,5,0.34999999999990905,0.5005036903187079,42.0,4,1,0,0,0.95,0.8388888888888889,0.11111111111111105,19.75,8.0,11.75,73.38749999999999,55.075,18.312499999999986,29.75,19.5,0,0,0
