match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
12,2015-01-04,12,86,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,22,-22,52.0,0.0,52.0,,0.0,0.5,0,33,-1.0,0,0
8,2015-01-04,8,71,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,71,0,71,0.0,52.0,-52.0,,-0.02957524017699753,0.0,0,17,7.0,1,1
8,2015-01-04,8,71,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,71,-71,52.0,0.0,52.0,,0.0,-0.02957524017699753,0,17,7.0,0,0
70,2015-01-05,47,84,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,124.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,26,0.0,1,1
70,2015-01-05,47,84,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-124.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,26,0.0,0,0
69,2015-01-05,46,423,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-200.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,-0.3547,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,16,8.0,1,1
69,2015-01-05,46,423,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,200.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,0.3547,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,16,8.0,0,0
68,2015-01-05,45,91,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,43.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,28,2.0,1,1
68,2015-01-05,45,91,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-43.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,28,2.0,0,0
67,2015-01-05,44,52,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,17.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,38,0.0,1,1
67,2015-01-05,44,52,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-17.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,38,0.0,0,0
